bshoutz;FoxNews;1
MeisterZeig;realDonaldTrump;1
JaxPavan66;CNN;1
fcb27b6c7f414d2;FoxNews;1
ImpressionsofTX;FoxNews;1
spookoligist;realDonaldTrump;1
jimmycapo65;realDonaldTrump;1
b_satnan;mashable;1
BCnohitter6;FoxNews;2
EnragedNY;FoxNews;1
AFVet4Hill;FoxNews;1
spannersystems;realDonaldTrump;1
Karentalk;CNN;4
Karentalk;HillaryClinton;48
Karentalk;FoxNews;1
ElHombreMalo;FoxNews;1
lakeemmarose;FoxNews;1
ArtistdeeDd;realDonaldTrump;1
MrDewMaster;FoxNews;3
tjkturner;CNN;1
TINAHILLSTROM1;FoxNews;1
Martha90053025;FoxNews;2
ikbentim;HillaryClinton;1
Chiefey68;CNN;1
tayjuvs1;FoxNews;3
Schroedeea;TIME;1
Duckster74Ruth;FoxNews;1
ThrallsJoyce;realDonaldTrump;1
arianacuIture;HillaryClinton;2
BillyT_202;realDonaldTrump;1
jlc7212007;FoxNews;1
arnhemboy026;YouTube;1
voysa_reezyn;ABC;1
Tinu;HillaryClinton;1
tci92;FoxNews;1
burtbigge;FoxNews;1
jeffyguy;realDonaldTrump;1
CheriseATL;CNN;1
talsept58;FoxNews;2
YutaHayakawa;TheEllenShow;1
_sarahturner;CNN;1
rockymusik;realDonaldTrump;4
gollygee13;HillaryClinton;1
9jmfleming;HillaryClinton;1
AmachukwuOg;FoxNews;1
bishopgames;nytimes;2
BackOnTrackUSA;realDonaldTrump;3
melvinteach;FoxNews;1
Ny6964Black;FoxNews;1
jossiem123;realDonaldTrump;2
justblegit;washingtonpost;1
dnlrbrtsn7;FoxNews;1
TexasYankee001;HillaryClinton;3
itsmeryanward;FoxNews;1
MUSTANGDORI98;FoxNews;2
jhenegar;FoxNews;1
ghalimuhseen;CNN;1
AziaeLion;FoxNews;1
bill_bseibert;FoxNews;1
Renhowe;realDonaldTrump;1
DuxburyBob;FoxNews;4
KevinGlynn1;FoxNews;1
sh4joy;nytimes;1
claud91423;FoxNews;1
Rki009;HillaryClinton;1
stacyswd;FoxNews;2
DorothyYonker;FoxNews;2
dbraun1965;FoxNews;1
cjkpilot;HillaryClinton;1
swruddy;realDonaldTrump;1
wallerj3;FoxNews;1
jaakmiller;FoxNews;2
YoloSwag4Jezus;CNN;1
RazzorUk;CNN;1
FaithBased92;FoxNews;1
TheOriginalEd70;FoxNews;1
BIGLB2016;CNN;2
BIGLB2016;FoxNews;5
BIGLB2016;realDonaldTrump;2
