OlesyaLeschuk;Entrepreneur;1
TeamMarcoCO;USMC;1
maribouse;Farage_Fandom;3
ImmigranNacion;RepGarrett;1
ImmigranNacion;LEETERRYNE;1
ImmigranNacion;HouseGOP;4
ImmigranNacion;RepBrianBabin;1
dimikaradimas;jacksfilms;1
Rabbits2U;HouseGOP;1
Rabbits2U;POTUS;2
laurahollis61;Pieter_Gericke;1
WillDavids2;charlierose;1
jeanmarh20;ShareThis;1
sapsp123;ShareThis;1
StandByTrump;Sia;1
pic_zip;Sia;1
Karentalk;Sheenagrier;1
Karentalk;POTUS;18
AngelaTN777;Sia;1
JoannaMcCaffre;TheRealBTront;1
dira_m;BD_Africa;1
cbinflux;POTUS;1
PTLXGlobla;and_is_w;1
BillyT_202;Sia;1
BillyT_202;jt11rocks64;3
BillyT_202;POTUS;8
RepRepublic;POTUS;1
leo_dan_vincent;UN;1
DartmouthParent;ShareThis;1
BobbyJindal;drewbrees;1
Spencer_HM;JustinTrudeau;1
Spencer_HM;HonStephaneDion;1
Nathantaft;GeorgeHWBush;1
BrianPWild;GeorgeHWBush;1
debby_larsen;ShareThis;1
debby_larsen;DonaldBlackmore;1
talsept58;POTUS;1
JaimimiMama;nancygilesnyc;1
paco040;ruizhealy;1
AmericanMex067;POTUS;1
Steven495;UKChange;1
EuroYankeeBlog;rosadelauro;1
EuroYankeeBlog;RepMikeHonda;1
EuroYankeeBlog;RepLoisFrankel;1
chukwuebuka0911;POTUS;1
KarlKBoucher;nuzzel;1
2717PRODUCTIONS;Sia;1
horse3891;USMC;1
alexputin;POTUS;1
IdiotHowieStern;sternshow;1
TexasYankee001;ShareThis;1
djlehmann;POTUS;2
djlehmann;LibDems;1
middie7;Sia;1
RealPro4Real;Sia;1
RealPro4Real;DrLisaCoaching;2
burgessev;SenatorRisch;1
TurtleWoman777;UN;4
SteveButcher13;Sia;1
LisaAbeyta;hautepreneurs;1
eshropshire1;Sia;1
Jose_Acosta03;Armandoo_2;1
Jose_Acosta03;foreignncash;1
vsweeney68;Sia;1
khaidollaz;aliens;1
stacyswd;krauthammer;1
DemonRB;DavidOhPhilly;1
mydadissa;BrittanyFurlan;1
DennyHuntington;Pieter_Gericke;1
markgoodenow1;ShareThis;1
markgoodenow1;POTUS;1
Buffalo_sauced;EBischoff;1
brentcoffee;POTUS;1
iginia_silva;PadreJosePaImaI;1
iginia_silva;sol651;1
bergermister;Sia;1
FabienPipers;Muyambopark;1
Oohoo3;ShareThis;1
K1erry;ShareThis;1
BIGLB2016;POTUS;1
hans24uy;HouseGOP;1
everferreiraa;Sia;1
Berger960;Sia;1
aaronwea;HouseGOP;3
ThePoliticalHat;charlierose;1
MichaelKol;andersoncooper;1
infomuyambopark;Muyambopark;1
WickedBecks;POTUS;1
Aquamonkey92;TacticalPuma4;1
affmadow;POTUS;1
Croatansound;krauthammer;1
Croatansound;POTUS;1
youwildman;POTUS;2
donaldnobles3;UN;1
Yolanda1277;POTUS;1
Yolanda1277;SenatorRisch;1
antiantistudio;SVAMFAFineArts;1
OatesShane;POTUS;1
royal_ice;krauthammer;1
YoungRadical17;ShareThis;1
aafmuller;normmacdonald;1
focusonegroup;USMC;1
starknightz;Sia;1
luvmom8702;POTUS;1
Gabclout;liberal_party;1
PatriciaCash11;POTUS;2
PatGinSD;NWF;1
matt768;Sia;1
charliesbridge;POTUS;1
OlmanRimola;krauthammer;1
BeatsandEatsTWO;andersoncooper;2
raytiley;bcardarella;1
AMCharles2;and_is_w;1
Ban1slam;ShareThis;1
MSMisPropaganda;POTUS;1
panderkin41;POTUS;1
The13th_Ghost;David_Diskin;1
DerickMynatt;POTUS;1
yawningoakley;joshuadun;1
Spectre1911;POTUS;1
EelPieLtd;hillaryforum;1
willekes_rob;TimmermansEU;1
parkercheney;JonathanDZapeta;1
AlaskaYog;POTUS;1
stesfamariam;POTUS;1
longshipdriver;ShareThis;1
jdmcnamara;DonaldBlackmore;1
Oldlady12345;andersoncooper;1
Oldlady12345;POTUS;1
TheLaw1_;POTUS;1
ohiomail;ShareThis;4
ohiomail;POTUS;1
RichFiege;ShareThis;1
RichFiege;POTUS;1
ChrisHoneycutt;CornerstoneSC;1
OFFICIA1Dante;Sia;1
AuslandRuss;POTUS;1
superangryspice;chilltown3445;1
macelibu;POTUS;1
Tyler_Bendrick;POTUS;1
sylvia_stein07;facebook;1
muisje_rm;TimmermansEU;1
METWBS;Sia;1
Kamikaze_98;POTUS;1
laexpresiondemn;POTUS;1
citznx;joshuadun;1
Allecia13;jeff686;1
BikoVita;UN;1
BikoVita;POTUS;1
KimberlyGrrdl;PrinceRoyceDijo;1
EHGirl98;POTUS;1
chris4959;ShareThis;1
Politburo_Spy;POTUS;1
HeatherMestad;POTUS;1
bentrijal;KingSalman;2
bentrijal;UN;3
ShootTheHead;aboutdocsguide;1
ShootTheHead;Esai_Morales;1
Im2old4thisship;bIoach;1
marklangford;ShareThis;1
mjgranger1;POTUS;1
hoIiestdevonne;aliens;1
jpvivier;POTUS;1
xr4fun;Sia;1
ElviscNnanna;UN;1
bayoeleolaju;POTUS;1
PopsRT;ShareThis;1
PopsRT;Pieter_Gericke;1
STL_Blonde;twtrav;1
sib_howell;POTUS;1
DenunciasDelTuy;POTUS;1
gayboydrama_;AstroGOW;1
wincurvybros;joshuadun;1
mightymitchell1;POTUS;2
obligatoryasian;POTUS;1
christi22453182;POTUS;1
mikeytvjonez;Sia;1
Angelwings55sc;POTUS;2
ThePantau;POTUS;1
sirenpanic;jacksfilms;1
lopinweapon;Pieter_Gericke;1
28Stinni;aliens;1
VoteMuck;ShareThis;2
VoteMuck;POTUS;1
SaqibIslam;POTUS;1
_lupeeo;aliens;1
catchinqcookies;joshuadun;1
davilch;POTUS;1
JoeKoffee;ShareThis;1
Solutioneer72;Sia;1
Solutioneer72;WorleyDervish;1
RRFleischman;POTUS;2
howellaboutphil;POTUS;2
Zavosky44;Sia;1
REspinoza_audio;nbcchuck;1
ImNotOfMars;joshuadun;1
libertybell1776;HouseGOP;1
libertybell1776;POTUS;1
bryceb;DammitDacia;2
piratesbooty86;APA;1
piratesbooty86;APAGradStudents;1
jessicafewell1;APA;1
vikingthakkar;POTUS;1
MargoDBeller;POTUS;1
LuNPrince81;POTUS;1
kennyscott1952;Sia;1
tluvgolf;POTUS;2
amzcon;POTUS;1
globalsocialm2;Sia;1
globalsocialm2;and_is_w;1
fakenames864;showdedoncheto;1
GigiLs88;DonaldBlackmore;1
1216BJ;POTUS;1
AlwaysPolitical;USMC;1
1crazystlgal;TotalWine;1
Mr_Marolf;USMC;1
BillHouck4;POTUS;1
yourfriendlyjoe;ZANETWENTYONE;1
tanner_jd;POTUS;1
JasonsGrandpa;opinionstage;3
JasonsGrandpa;and_is_w;2
JasonsGrandpa;Sia;1
