JonLaird87;nytimes;1
DrashmanCNN;CNN;1
SimoneCucc;CNN;1
ImpressionsofTX;nytimes;2
polaroidxlwt;TheEllenShow;1
dayanat245;nytimes;1
clarisacallanta;katyperry;1
alfonsohoops;CNN;1
Alwaysss_Smile_;TheEllenShow;1
EnragedNY;CNN;1
lydiarose21;nytimes;1
hei_apple;YouTube;1
swaggiestconnor;CNN;1
hummer014;nytimes;1
MokenaMakeka;BarackObama;1
brucebarket;nytimes;1
BhavinPatel_;TheEllenShow;1
britpop86;CNN;1
RuriCarol;nytimes;1
608Drew;TheEllenShow;1
arnhemboy026;YouTube;1
neatpotatoes;CNN;1
madmommadmom;nytimes;1
drjmftspeaks;nytimes;1
tetsu881;cnnbrk;1
DElizastyles1D;katyperry;1
CarlosHolmesTru;nytimes;1
GasparRabat;TheEllenShow;1
JulyReports;BarackObama;1
07_vinytech;nytimes;1
CheriseATL;CNN;1
VoteMuck;nytimes;3
jtr365;CNN;1
YutaHayakawa;TheEllenShow;1
bradsyoked;nytimes;1
eggplant56;nytimes;1
LKilloza;TheEllenShow;1
boxermom41;TheEllenShow;1
SJ_Frye;nytimes;1
daniellamurie;nytimes;1
bishopgames;nytimes;2
MinneapoliSam;nytimes;1
CarlaConant;TheEllenShow;1
adriaga05;nytimes;1
LGp0p;nytimes;1
bollybanty1;CNN;1
Ravenroarke;nytimes;1
shelley_2893;TheEllenShow;1
KrisAnneRegeth;BarackObama;1
Timinator_;CNN;2
geneolot;nytimes;1
ALYCBUR207;nytimes;3
sh4joy;nytimes;1
NormaRoque34;nytimes;1
teamspinster;nytimes;1
RunisLife12;nytimes;2
KawaiiPanda1;YouTube;1
brokencup;CNN;1
NiamaThomas;nytimes;1
phataba;TheEllenShow;1
rileyyandersonn;TheEllenShow;1
Cryzahh;nytimes;1
NikeSBKiller;CNN;1
surfingawake;nytimes;1
SuperStormJaxon;CNN;1
U_Megabyte;nytimes;1
mitriada;nytimes;1
K1erry;nytimes;1
